ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
772,Unit Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,611.84,-0.32,246.36,0.4,257.46,-135.62,0.89,3.7,829.72,918.52,228.69,240.13,186.15,0,53.98,-74.26,829.72,0,7.41,5.89,-8.05,6.9,3.57,3.37,B+
773,United States Steel Corporation (U.S. Steel Corp),U.S. GAAP,Con,USD,USD - USD 1.0000,10261,-0.11,401,0.03,524,-440,1515,50,3069,4053,131,727,306,31,390,0,3069,517,1.56,1.36,-3.58,1.82,7.6,7.49,B+
774,"Univision Communications, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,2911.4,0.1,1134.4,0.38,1180.8,11.1,56.2,151.4,10445.5,10641.7,467.4,274.5,133.4,17.2,141.1,0,10445.5,124.3,1.78,1.73,-2.3,1.98,9.01,9.21,WD
775,Uranium One Inc.,IFRS,Con,USD,USD - USD 1.0000,314.6,-0.03,134.6,0.42,134.9,253.9,123.3,62.9,699.9,701.7,62,103,25.5,0,77.5,0,699.9,0,2.04,2.04,-3.45,2.81,4.33,4.33,WD
776,Usinas Siderurgicas de Minas Gerais S.A. (Usiminas,Local GAAP,Con,USD,BRL - USD 3.2585,2594.51,-0.17,134.28,0.05,134.28,-177.03,692.79,131.53,2236.28,2236.28,-62.18,57.12,63.54,0,-6.42,0,2236.28,322.32,0.77,0.77,-1.5,0.59,13.64,13.64,B
777,Vingroup JSC,IFRS,Noncon,USD,VND - USD 21246.0000,1301,0.5,428.27,0.32,444.84,224,361.53,60.01,1527.53,1660.08,225.27,569.28,567.12,111.36,-109.2,418.34,1527.53,205.22,2.18,2.06,-5.17,2.85,3.73,3.57,B+
778,Viridian Group Investments Limited,IAS,Noncon,USD,GBP - USD 0.6943,1886.79,-0.08,131.07,0.06,132.51,74.9,97.94,1.44,674.06,579,74.9,87.86,92.18,28.81,-33.13,20.16,780.64,0,2.3,2.27,-2.31,2.3,5.12,5.09,B+
779,Voyage Bidco Limited,Local GAAP,Noncon,USD,GBP - USD 0.6757,300.79,0.03,64.87,0.21,70.13,7.05,19.93,7.45,410,452.1,33.83,39.03,20.11,0,13.89,10.25,410,0,2.1,1.94,-2.95,2.11,6.45,6.32,B-
780,VRG Linhas Aereas S.A.,IFRS,Con,USD,BRL - USD 2.3538,3765.13,0.09,255.38,0.06,552.43,-301.54,876.99,168.24,1674.85,3754.19,25.82,470.52,128.97,0,341.54,0,1674.85,0,1.1,1.1,-4.2,1.6,6.8,6.6,B
781,"Wal-Mart Stores, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,485338,0,32309,0.06,34921,13643,6867,3920,45858.72,66754.72,25353,31051,10619,6216,14216,1345,45858.72,-8298,11.74,6.09,-18.75,13.54,1.94,1.44,AA
782,Walmart Chile S.A. (WMTCL)    ,IFRS,Con,USD,CLP - USD 707.3400,5392.66,0.1,447.84,0.08,518.5,511.8,132.93,582.84,1219.93,1714.54,557.82,544.25,157.21,15.54,371.5,0,1219.93,0,39.14,7.54,-26.66,30.63,3.31,2.72,WD
783,West Corporation,U.S. GAAP,Noncon,USD,USD - USD 1.0000,2291.96,0,666.99,0.29,704.89,193.39,52.66,39.71,3209.05,3512.25,466.88,428.27,126.58,74.71,226.99,19.92,3209.05,-15.47,4.37,3.65,-5.59,4.82,4.98,4.81,B+
784,Wind Tre SpA,IFRS,Noncon,USD,EUR - USD 0.9185,4820.9,-0.04,1873.71,0.38,2266.74,465.98,307.02,201.42,11049.54,14193.79,1069.13,952.64,849.21,0,103.43,-728.36,11049.54,0,2.4,1.9,-4.21,2.61,6.26,5.9,B+
785,"Windstream Services, LLC",U.S. GAAP,Con,USD,USD - USD 1.0000,5387,-0.06,1261.8,0.23,2030.9,-535.3,59.1,14.9,5049,11201.8,861.1,772.6,989.8,88.5,-305.7,0,5049,0,3.35,1.76,-8.15,3.44,5.52,4,B
786,"Wynn Resorts, Limited",U.S. GAAP,Con,USD,USD - USD 1.0000,5154.3,-0.02,1462.6,0.28,1484.1,500.2,1664.1,1.1,5782.9,5954.9,1215.7,1185.7,241,955.5,-10.8,0,5782.9,14.7,6.34,5.87,-5.97,6.49,4.01,3.95,WD
787,Yasar Holding A.S.,IFRS,Con,USD,TRY - USD 3.5224,1001.33,0.1,108.31,0.1,108.31,-24.5,1.31,97.43,503.01,503.01,50.14,0.06,67.97,0,-65.13,-18.23,503.01,2.92,2.25,2.25,-4.03,2.51,5.11,5.11,B
788,Yingde Gases Group Company Limited,IFRS,Con,USD,CNY - USD 6.4915,1219.88,0.02,406.96,0.33,409.69,82.56,152.2,276.3,1574.09,1595.93,244.07,212.14,173.07,74.09,-35.02,0.16,1574.09,0,3.28,3.22,-5.07,3.87,3.89,3.86,B+
789,YPF S.A.,Local GAAP,Con,USD,ARS - USD 15.9000,13213.84,0.34,3661.38,0.27,3661.38,-1775.91,1151.26,1684.09,9707.23,9707.23,3089.87,2099.75,4035.22,55.91,-1991.38,0,9707.23,-3.14,3.98,3.98,-6.78,3.59,2.63,2.63,B
790,Zoomlion Heavy Industry Science and Technology Co.,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-
791,Accenture plc,U.S. GAAP,Con,USD,USD - USD 1.0000,36765.48,0.05,6739.43,0.18,7356.44,3445.15,4126.86,2.91,25.07,4961.18,5086.77,4973.04,515.92,1567.58,2889.54,1728.22,25.07,-1973.01,321.54,8.98,-506.42,427.87,0.67,0,A+
792,Acea SpA,Local GAAP,Noncon,USD,EUR - USD 0.8237,3688.6,-0.07,848.61,0.23,848.61,188.54,1235.89,230.55,3922.06,4356.8,656.31,628.51,383.27,53.3,191.94,-6.56,3922.06,0,4.94,4.94,-9.12,5.56,5.13,4.62,BBB+
793,Ache Laboratorios Farmaceuticos S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,824.39,0.15,248.9,0.3,248.9,167.03,41.25,13.56,53.02,53.02,187.84,147.22,33.08,138.76,-24.62,0.56,53.02,0,58.11,58.11,-62.4,75.67,0.21,0.21,BB+
794,Advanced Info Service Public Company Limited,Local GAAP,Con,USD,THB - USD 32.8136,4351.33,0,1924.3,0.44,1963.83,1105.46,349.65,283.52,751.46,1067.67,1676.52,1551.42,867.33,1032.78,-348.68,-0.48,751.46,0,56.57,24.92,-92.69,64.44,0.54,0.39,BBB+
795,"Agilent Technologies, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4202,0.04,1002,0.23,1063,462,2289,0,1900,2388,833,793,139,150,504,261,1900,-372,12.26,7.13,-16.69,13.73,2.25,1.9,BBB+
796,Akzo Nobel N.V.,Local GAAP,Con,USD,EUR - USD 0.9487,14964.69,-0.04,2221.99,0.14,2457.05,1024.56,1158.43,91.7,2878.68,4759.14,1427.22,1428.27,668.28,354.17,405.82,382.63,2878.68,0,16.32,5.3,-30.42,24.41,1.92,1.29,BBB+
797,Alcoa Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,9318,-0.16,1056,0.11,1146,-400,566.7,21,1480,2200,3,-544,404,0,-948,-112,1480,812,1.01,1.01,-5.23,3.97,2.23,1.65,BB+
798,Aluminum Corporation of China Limited,IFRS,Con,USD,CNY - USD 6.9498,20729.45,0.16,1718.65,0.08,1792.8,57.9,3425.71,8387.64,15196.85,15790.02,1933.02,1260.34,948.34,0,311.99,-410.27,15196.85,0,3.6,3.35,-4.06,2.75,7.65,7.64,BBB+
799,Amcor Limited,IFRS,Con,USD,USD - USD 1.0000,10853.4,0.14,1438,0.13,1550.5,768.5,461.1,620.8,3807.3,4594.8,1196,1171,362.2,496.3,312.5,92.8,3807.3,-78.2,5.45,4.1,-7.98,5.62,2.94,2.63,BBB+
800,Arcelik,IFRS,Noncon,USD,TRY - USD 2.9102,4867.74,0.13,522.89,0.1,532.3,306.23,671.67,265.86,1389.11,1436.19,387.19,371.04,220.09,120.27,30.69,0.45,1389.11,0,3.86,3.67,-5.69,4.01,2.66,2.62,BB+
801,ArcelorMittal S.A.,U.S. GAAP,Con,USD,USD - USD 1.0000,79282,0,7237,0.09,7923,-1086,3893,2522,26650,32138,3747,4115,3665,350,100,26,26650,0,2.96,2.43,-7.47,3.94,4,3.63,BB+
802,Arconic Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,12394,0,1788,0.14,1898,-1125,1210.9,390,8494,9344,1200,595,1125,228,-758,-702,8524,4,3.26,2.87,-4.69,3.08,5.44,5.27,BB+
803,ASML Holding N.V.,U.S. GAAP,Con,USD,EUR - USD 0.9487,7162.43,0.08,2123.96,0.29,2171.39,1552.65,4276.38,261.41,3499.53,3878.99,2067.04,1756.09,341.52,470.12,944.45,2783.81,3499.53,192.9,34.73,19.7,-62.74,35.98,1.79,1.65,BBB+
804,AusNet Services Limited,IFRS,Con,USD,AUD - USD 1.3099,1400.03,0.01,804.79,0.57,819.3,17.25,674.17,592.95,5508.89,5624.93,470.65,586,611.12,136.8,-161.92,0.31,5508.89,0,2.82,2.72,-4.91,3.23,6.87,6.84,BBB+
805,Azerenerji JSC,IFRS,Con,USD,AZN - USD 0.7844,1001.02,0.08,199.26,0.19,199.26,24.99,64.25,777.79,1926.31,1926.31,218.77,214.43,151.84,0,62.6,0,1926.31,118.18,6.48,6.48,-7.48,4.99,9.67,9.67,BB+
806,Bahrain Telecommunications Company,IFRS,Con,USD,BHD - USD 0.3760,1037.23,0.05,385.64,0.37,409.57,132.98,398.94,0,470.74,662.23,329.79,329.79,95.74,111.7,122.34,42.55,470.74,0,13.1,7.37,-19.4,14.9,1.58,1.19,BB+
807,Ball Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,9061,0.13,1253,0.13,1310,263,597,222,8173,8629,702,77,606,83,-612,441,8173,-59,4.7,3.84,-8.37,6.59,6.59,6.52,BB+
808,BASF SE,Local GAAP,Con,USD,EUR - USD 0.9487,60661.96,-0.18,11094.13,0.18,11564.25,4275.32,1223.78,3993.89,17305.79,21066.72,7916.1,8025.72,4369.14,2808.05,848.53,1707.6,17305.79,29.51,12.96,7.93,-22.71,16.95,1.84,1.57,A+
809,Baxter International Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,10163,0.01,1924,0.18,2098,4966,2801,71,2862,4254,1726,1637,719,268,680,11,2862,33,18.2,7.24,-26.33,19.43,2.03,1.49,BBB+
810,"Becle, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,1176.78,0.69,293.05,0.24,322.52,151.83,247.36,2.56,494.9,671.73,248.8,150.99,49.89,0,101.1,3.2,494.9,-48.01,15.12,6.25,-19.59,16.8,2.08,1.69,BBB+
811,Bertelsmann SE & Co. KGaA.,IAS,Con,USD,EUR - USD 0.9185,18661.95,0.02,2705.5,0.14,2986.39,733.81,1402.29,1088.73,4230.81,5713.23,1324.99,1106.15,703.32,195.97,-555.25,180.73,4911.27,-8.71,8.73,3.91,-20.7,13.04,2.56,1.91,BBB+
812,BHP Billiton Limited,U.S. GAAP,Noncon,USD,USD - USD 1.0000,65968,-0.08,28070,0.42,29040,10876,6060,5303,35165,42925,19043,19219,21973,6167,-8921,-2202,35165,-424,20.69,10.81,-49.44,29.11,1.48,1.25,A+
813,"BorgWarner, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,9071,0.13,1550.6,0.17,1588.8,118.5,0,175.9,2230.7,2536.3,1044.9,1005.8,500.6,113.4,391.8,-96.4,2230.7,-281.3,11.36,8.5,-21.13,15.42,1.6,1.44,BBB+
814,BR Malls Participacoes S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,394.78,-0.05,292.71,0.74,292.71,66.11,114.97,178.66,1466.9,1466.9,79.29,66.32,51.71,11.44,14.61,0,1466.9,17.96,1.3,1.3,-1.9,1.6,5.1,5.1,BB+
815,"Brinker International, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3150.84,-0.03,449.81,0.14,575.13,150.82,9.06,9.65,1337.67,2340.24,306.48,312.89,102.57,70.77,139.54,-3.16,1337.67,-365.26,8.71,2.86,-13.68,11.31,4.07,2.97,BB+
816,British Land Company PLC (The),Local GAAP,Noncon,USD,GBP - USD 0.6943,554.52,0.12,426.33,0.76,426.33,1918.48,106.58,106.58,4472.13,4472.13,427.77,427.77,718.71,338.47,-629.41,-92.18,4472.13,7.2,3.75,3.75,-7.1,3.74,7.98,7.98,BBB+
817,Broadridge Financial Solutions,U.S. GAAP,Con,USD,USD - USD 1.0000,4142.6,0.43,769.9,0.18,820.2,326.8,144.9,0,1110,1512.4,424.9,515.9,113.7,152.2,250,538.7,1110,-281.9,10.81,5.53,-20.89,17.86,1.84,1.44,BBB+
818,BT Group plc,IFRS,Con,USD,GBP - USD 0.6943,27191.42,0.05,9302.9,0.34,9938.07,3551.78,5563.88,5380.96,19807,24888.38,6557.68,6654.18,3511.45,1548.32,1594.41,4866.77,19807,-324.07,9.14,5.55,-17.99,11.61,2.5,2.12,BBB+
819,"CA, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4036,0,1592,0.39,1730,775,1108.4,18,2808,3912,1117,1039,47,428,564,1288,2808,-74,13.99,5.99,-28.66,18.51,2.26,1.76,BBB+
820,Cadence Design Systems Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,1816.08,0.06,525.93,0.28,554.14,203.09,173.27,50,700,925.73,440.59,444.88,53.71,0,391.17,41.63,700,-904.85,21.82,9.89,-25.68,25.02,1.67,1.33,BBB+
821,"Canal de Isabel II, S.A.",IFRS,Noncon,USD,EUR - USD 0.9487,1163.95,-0.01,532.54,0.45,549.05,251.68,104.23,166.84,1163.66,1295.72,307.86,267.32,230.32,0,37,18.54,1163.66,0,10.31,7.19,-20.43,16.17,2.37,2.19,BBB+
822,"Cardinal Health, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,129976,0.06,3190,0.02,3349,1288,6310,1327,10462.5,11734.5,2017,1243,387,577,279,129,10462.5,-600,11.09,6.62,-17.79,15.95,3.5,3.28,BBB+
823,Carrefour SA,Local GAAP,Con,USD,EUR - USD 0.9487,83033.62,0,4096.13,0.04,5173.4,984.51,2429.64,1976.39,8475.81,16770.74,2508.7,3155.9,2971.43,127.54,11.59,29.51,8475.81,-10.54,6.81,2.65,-19.11,9.58,3.25,2.07,BBB+
824,Casino Guichard-Perrachon SA,Local GAAP,Con,USD,EUR - USD 0.8237,58872.16,0.01,3872.77,0.06,5268.91,305.94,8551.66,5325.97,17215.25,25227.87,2295.74,3350.73,1856.26,461.33,885.03,171.18,18277.53,-322.93,2.94,1.83,-6.88,3.71,5.06,4.53,BB+
825,"Cementos Progreso, S.A.",IFRS,Noncon,USD,USD - USD 1.0000,576.55,-0.05,253.26,0.43,253.26,168.19,37.74,1.3,558.98,558.98,176.38,194.77,144.89,35.1,14.78,-0.45,558.98,0,5.4,5.4,-95.1,6.3,2.2,2.2,BB+
826,"CF Industries, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3685,-0.14,1363,0.36,1474,-277,1158,0,5850,6738,1181,498,2211,280,-1993,-14,5850,2800,9.17,5.61,-9.74,8.64,4.97,4.7,BB+
827,China Mobile Limited,IAS,Con,USD,CNY - USD 6.1190,104828.89,0.01,38253.15,0.36,44513.81,17858.96,68452.69,11.11,828.24,50913.55,36330.77,37204.61,28081.22,8322.27,801.11,1553.85,828.24,1342.54,925.07,6.4,-1959.1,1051.28,1.13,0.02,A+
828,China Petroleum & Chemical Corporation (Sinopec),IFRS,Con,USD,CNY - USD 6.1190,461826.12,0,26733.78,0.05,29030.23,7593.72,1650.6,29113.91,53780.03,73086.45,24813.53,23687.37,20327.01,4580.98,-1220.62,2048.37,53780.03,0,16.34,7.3,-23.71,17.2,2.45,1.96,A+
829,China Shenhua Energy Company Limited,IFRS,Con,USD,CNY - USD 6.4915,27277.05,-0.3,9642.92,0.35,9676.65,2718.79,6660.86,2743.59,16420.7,16690.6,7358.24,7012.25,4602.33,2267.27,142.65,829.7,16420.7,0,9.23,8.93,-15.05,10.1,1.87,1.84,A+
830,China Telecom Corporation Limited,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+
831,China Yangtze Power Company Limited,Local GAAP,Con,USD,CNY - USD 6.4915,3733.97,-0.09,3333,0.89,3333,1774.62,593.99,2510.61,7311.44,7311.44,2477.36,2387.38,70.9,963.59,1352.89,0,7311.44,4.59,6.72,6.72,-8.08,7.92,2.14,2.14,A+
832,CNOOC Limited,U.S. GAAP,Con,USD,CNY - USD 6.1190,44882.17,-0.03,23422.29,0.52,23789.83,9838.05,8818.76,5095.6,22317.86,25258.21,16482.43,16407.91,15635.4,2129.11,-1356.59,-280.93,22317.86,0,25.26,16.69,-98.12,33.13,1.12,1,A+
833,Coca-Cola Amatil Limited,IFRS,Con,USD,AUD - USD 1.3687,3764.37,0.02,680.06,0.18,741.65,287.43,904.14,411.63,1815.3,2246.44,499.82,457.95,194.49,234.31,29.15,0,1815.3,472.57,6.85,4.35,-10.61,8.22,3.03,2.67,BBB+
834,Coca-Cola European Partners plc,IFRS,Noncon,USD,EUR - USD 0.9487,9626.86,0.44,1723.41,0.17,1820.39,578.69,157.06,922.31,6785.07,7560.87,875.94,1195.32,523.87,215.03,456.41,-128.6,6785.07,-3132.71,8.3,5,-15.3,14.9,4.2,3.9,BBB+
835,"Coca-Cola Refreshments USA, Inc and Coca-Cola Refr",U.S. GAAP,Con,USD,USD - USD 1.0000,21645,0,2765,0.12,2991,731,1036,1027,8777,10837,1629,1780,916,147,717,80,8777,59,4.03,3.13,-6.79,5.14,3.62,3.17,A+
836,Cogeco Communications Inc.,IFRS,Con,USD,CAD - USD 1.3124,1658.14,0.06,754.23,0.45,772.49,-144.49,47.46,50.77,2231.75,2377.86,559.02,567.79,356.23,58.29,153.28,0,2231.75,0.54,6.48,5.65,-10.74,7.39,3.08,2.96,BB+
837,Comcel Trust,IFRS,Noncon,USD,USD - USD 1.0000,1279.28,-0.01,606.74,0.47,613.95,281.07,283.52,0,988.52,1046.19,487.94,471.13,174.91,149.65,146.57,4.42,988.52,0,8,7.3,-10.5,8.7,1.7,1.6,BB+
838,Comision Federal de Electricidad (CFE),Local GAAP,Con,USD,MXN - USD 20.7314,16804.61,0.13,4035.04,0.24,4035.04,3678.29,2038.36,2012.8,21981.62,21981.62,3254.1,4129.48,2455.6,0,1673.88,0,21981.62,0,5.17,5.17,-4.18,5.33,5.45,5.45,BBB+
839,Computer Sciences Corp.,Local GAAP,Con,USD,USD - USD 1.0000,7607,0.07,1261,0.16,1407,-123,463,738,2972.3,4140.3,338,978,386,78,514,374,2972.3,54,3.94,2.22,-15.32,12.24,2.94,2.36,BBB+
840,Continental AG,IFRS,Con,USD,EUR - USD 0.9185,42713.12,0.13,6545.78,0.15,6816.33,2969.41,732.61,2241.05,5725.31,7889.71,5399.89,5506.7,2465.54,707.68,2333.48,1383.12,5725.31,0,25.09,11.88,-48.74,29.32,1.16,0.88,BBB+
841,Controladora Mabe S.A. de C.V. (Mabe),Local GAAP,Noncon,USD,USD - USD 1.0000,2744,0,265,0.09,294,49,114,65,837,1011,137,160,125,0,35,-20,837,0,2.93,2.36,-6.16,3.84,3.44,3.16,BB+
842,Cosan S.A. Industria e Comercio,Local GAAP,Noncon,USD,BRL - USD 3.2585,2314.5,-0.09,568.19,0.24,568.19,437.42,1338.68,338.91,3251.13,3251.13,962.8,906.96,150.77,583.08,173.1,-301.06,3251.13,22.51,5.8,5.8,-2.8,5.7,3.4,3.4,BB+
843,Costco Wholesale Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,129025,0.08,5944,0.04,6202,2679,4546,86,6702,8766,5362,6726,2502,3904,320,0,6702,-469,41.55,14.66,-58.03,45.37,1.41,1.13,A+
844,"DCP Midstream, LP",U.S. GAAP,Noncon,USD,USD - USD 1.0000,2028,-0.42,568,0.28,579,228,2,0,2450,2450,612,650,281,482,-113,0,2450,31,8.12,7.31,-11.53,8.94,3.14,3.19,BB+
845,Dell Technologies Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,62822,0.14,3013,0.04,3292,-3691,9474,6329,50356.1,52588.1,1706,2222,906,0,1316,30732,50356.1,3264,2.02,1.86,-2.84,1.91,15.97,16.71,BB+
846,Deutsche Post AG ,Local GAAP,Con,USD,EUR - USD 0.7251,75968.83,0,5582.68,0.07,7921.67,2883.74,3298.86,1831.47,8191.97,21056.41,4043.58,3927.73,1915.6,1166.74,744.72,6.9,8191.97,-26.2,18.41,2.55,-39.54,23.81,2.7,1.5,BBB+
847,Deutsche Telekom AG,Local GAAP,Noncon,USD,EUR - USD 0.9185,75148.61,0.1,19040.83,0.25,22089.28,3542.73,10641.26,14616.22,61329.34,85716.93,16477.95,15119.22,15909.64,1252.04,-2042.46,-305.93,61329.34,17.42,5.09,3.26,-13.56,5.18,3.79,3.14,BBB+
848,Devon Energy Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,10363,-0.31,2459,0.23,2537,-3302,1159,0,10969,11593,1953,1610,2330,221,-941,-1477,10969,1469,4.45,4.03,-4.89,4.1,4.83,4.72,BBB+
849,E.ON SE,Local GAAP,Con,USD,EUR - USD 0.8237,135777.59,-0.08,9102.83,0.06,9371.13,-3623.89,5211.61,4714.09,23876.41,25217.92,8510.38,7349.76,4848.85,1019.79,1481.12,-1935.17,23876.41,-33.99,5.43,4.86,-6.36,5.12,2.66,2.59,BBB+
850,Eaton Corporation plc,U.S. GAAP,Con,USD,USD - USD 1.0000,19747,-0.05,3186,0.16,3406,1922,93,1566,8263,10023,2647,2552,497,1037,1018,-1,8263,-656,10.95,6.45,-16.75,11.98,2.94,2.59,BBB+
851,Ekibastuz GRES-1 LLP,IFRS,Con,USD,KZT - USD 333.2900,188.21,-0.19,102.43,0.54,102.54,18.23,9.8,21.23,105.33,106.01,80.99,78.59,92.11,6.6,-20.12,0,105.33,0,5.9,5.9,-3089.3,6.3,1,1,BB+
852,"El Puerto de Liverpool, S.A.B. de C.V.",IFRS,Noncon,USD,MXN - USD 20.7314,4844.87,0.1,774.24,0.16,817.17,491.62,1233.64,101.3,120.98,378.56,397.56,553.85,318.45,62.13,173.26,65.41,120.98,0,8.8,5.2,-17.5,15.7,0.5,0.2,BBB+
853,Electricity North West Limited,IFRS,Noncon,USD,GBP - USD 0.6757,789.85,0.05,575.85,0.72,579.55,106.26,218.29,0,1697.2,1726.8,411.72,402.25,314.64,54.76,32.85,0,1697.2,0,6.2,5.9,-8.9,7.2,3,2.9,BBB+
854,Electricity Supply Board,IFRS,Con,USD,EUR - USD 0.9487,3385.42,-0.03,1395.25,0.41,1414.85,198.01,349.86,515.79,5151.73,5308.54,1058.44,1198.58,801.76,91.17,158.09,3.41,5151.73,0,5.17,4.87,-9.58,5.57,3.75,3.69,BBB+
855,"Elementia, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,920.83,0.12,173.26,0.18,173.26,33.14,188.7,147.8,839.4,839.4,169.36,169.07,194.25,0,-13.07,193.33,839.4,210.41,6.76,6.76,-11.49,6.06,4.84,4.84,BB+
856,Embotelladora Andina S.A. (Andina),IFRS,Con,USD,CLP - USD 667.2900,2663.7,-0.05,466.07,0.17,466.07,135.66,292.46,90.1,1051.28,1051.28,313.1,334.86,192.15,101.29,41.42,-0.11,1051.28,0,5.01,5.01,-9.64,6.24,2.25,2.25,BBB+
857,Emirates Telecommunications Group Company PJSC (Et,IFRS,Noncon,USD,AED - USD 3.6725,14087.68,0.06,7222.82,0.51,7305.84,2314.45,5809.23,1143.53,6012.28,6676.46,4957.52,5438.75,2806.94,2223.01,408.8,-54.76,6012.28,-56.94,15.02,12.26,-38.57,21.35,0.91,0.83,A+
858,"Empresa de Telecomunicaciones de Bogota, S.A., E.S",IFRS,Con,USD,COP - USD 3000.7100,486.06,0,106.63,0.21,146.78,-75.4,89.8,6.67,183.35,384.09,79.9,21.23,135.17,0,-113.94,0,183.35,0,5.19,2.28,-15.95,6.03,2.62,1.72,BB+
859,Empresas Publicas de Medellin E.S.P. (EPM),Local GAAP,Con,USD,COP - USD 3000.7100,5269.45,0.13,1137.51,0.21,1137.51,557.75,398.07,727.64,5222.38,5222.38,1028.64,1002.66,1346.18,272.11,-615.64,-1.9,5222.38,0,3.74,3.74,-53.33,3.42,4.39,4.39,BBB+
860,"Endesa, S.A.",Local GAAP,Con,USD,EUR - USD 0.9185,22100.16,-0.05,3308.66,0.14,3340.23,1182.36,376.7,0,5642.9,5895.48,2460.53,3049.54,830.7,876.43,1342.41,29.4,5642.9,0,14.69,12.64,-24.51,18.52,1.75,1.7,BBB+
861,Enel Americas S.A. (ex. Enersis Americas),IFRS,Con,USD,CLP - USD 667.2900,7788.65,-0.01,2305.35,0.29,2322.85,401.52,2801.98,746.18,4348.09,4470.6,2366.1,2330.86,1246.39,646.37,438.1,-104.39,4348.09,-140.94,7.13,6.85,-8.75,6.32,1.92,1.89,BBB+
862,Enel Generacion Chile S.A. (ex. Endesa-Chile),IFRS,Con,USD,CLP - USD 667.2900,2487.27,0.07,858.2,0.34,885.88,588.93,171.57,38.51,1318.34,1512.11,797.09,742.04,292.05,189.9,260.09,-0.06,1318.34,0,7.91,6.57,-17.16,7.61,1.68,1.51,BBB+
863,Enel Russia PJSC,IFRS,Con,USD,RUB - USD 60.6569,1190.49,0.01,221.58,0.18,225.72,72.41,94.81,45.21,430.27,455.09,221.55,173.01,140.71,0,32.3,0,430.27,0,5.6,5.21,-8.14,4.94,2.02,1.94,BB+
864,Enel S.p.A.,Local GAAP,Noncon,USD,EUR - USD 0.9487,72313.69,-0.06,15994.52,0.22,16184.25,2708.97,8683.46,10595.55,51821.44,52258.88,8754.08,9557.29,9065.04,1714.98,-1222.73,-685.15,54166.75,-270.9,3.75,3.59,-8.63,4.88,3.57,3.43,BBB+
865,Energisa Minas Gerais - Distribuidora de Energia S,Local GAAP,Noncon,USD,BRL - USD 2.1372,149.31,0.09,46.85,0.31,46.85,35.13,4.69,61.99,143.9,143.9,43.56,43.56,0,0,43.56,0,143.9,0,1.84,1.84,-0.9,0.9,3.07,3.07,BB+
866,Energisa Paraiba - Distribuidora de Energia S/A,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB+
867,Energisa Sergipe - Distribuidora de Energia S/A,Local GAAP,Noncon,USD,BRL - USD 2.1372,200.2,0.12,58.65,0.29,58.65,36.31,20.83,54.59,299.57,299.57,36.31,36.31,0,0,36.31,0,299.57,0,1.72,1.72,-1.17,1.17,5.11,5.11,BB+
